p_c,R,M,e(pc),col2(pc)
2.204702e-06,2.216000e+01,1.862542e-01,1.547545e-04,9.644787e+02
2.423874e-06,2.094000e+01,1.972448e-01,1.609626e-04,9.657883e+02
2.664834e-06,1.992000e+01,2.088538e-01,1.674924e-04,9.671896e+02
2.929749e-06,1.906000e+01,2.211027e-01,1.741890e-04,9.686689e+02
3.220998e-06,1.831500e+01,2.340514e-01,1.808986e-04,9.702206e+02
3.541201e-06,1.767500e+01,2.477689e-01,1.879740e-04,9.718908e+02
3.893236e-06,1.712000e+01,2.622823e-01,1.950725e-04,9.736368e+02
4.280267e-06,1.663000e+01,2.776956e-01,2.024473e-04,9.754991e+02
4.705773e-06,1.620000e+01,2.940419e-01,2.099031e-04,9.774596e+02
5.173580e-06,1.582000e+01,3.114052e-01,2.176208e-04,9.795559e+02
5.687891e-06,1.548000e+01,3.298660e-01,2.253450e-04,9.817696e+02
6.253331e-06,1.528500e+01,3.413850e-01,4.444151e-04,9.841024e+02
6.874982e-06,1.531000e+01,3.367775e-01,5.455356e-04,9.855370e+02
7.558431e-06,1.531500e+01,3.309068e-01,5.480546e-04,9.867836e+02
8.309824e-06,1.529000e+01,3.250591e-01,5.508240e-04,9.881542e+02
9.135913e-06,1.522500e+01,3.195603e-01,5.538687e-04,9.896610e+02
1.004412e-05,1.511000e+01,3.146995e-01,5.570762e-04,9.912879e+02
1.104262e-05,1.494500e+01,3.107912e-01,5.605677e-04,9.930692e+02
1.214038e-05,1.472000e+01,3.081792e-01,5.644042e-04,9.950271e+02
1.334727e-05,1.444000e+01,3.072261e-01,5.685257e-04,9.971564e+02
1.467414e-05,1.410500e+01,3.082986e-01,5.729695e-04,9.994764e+02
1.613291e-05,1.372500e+01,3.117438e-01,5.778451e-04,1.002024e+03
1.773670e-05,1.331000e+01,3.178752e-01,5.830510e-04,1.004778e+03
1.949993e-05,1.288000e+01,3.269507e-01,5.887522e-04,1.007799e+03
2.143844e-05,1.246500e+01,3.391694e-01,5.948874e-04,1.011072e+03
2.356966e-05,1.207500e+01,3.546623e-01,6.015795e-04,1.014651e+03
2.591274e-05,1.171000e+01,3.735106e-01,6.088020e-04,1.018529e+03
2.848876e-05,1.138500e+01,3.957417e-01,6.166364e-04,1.022745e+03
3.132086e-05,1.110500e+01,4.213407e-01,6.251557e-04,1.027329e+03
3.443450e-05,1.086500e+01,4.502597e-01,6.344263e-04,1.032305e+03
3.785767e-05,1.066500e+01,4.824109e-01,6.444708e-04,1.037687e+03
4.162115e-05,1.050000e+01,5.176850e-01,6.554057e-04,1.043522e+03
4.575875e-05,1.037000e+01,5.559147e-01,6.674959e-04,1.049906e+03
5.030768e-05,1.026500e+01,5.969309e-01,6.804185e-04,1.056648e+03
5.530883e-05,1.018500e+01,6.404897e-01,6.950202e-04,1.063998e+03
6.080714e-05,1.012500e+01,6.862445e-01,7.114809e-04,1.071922e+03
6.685205e-05,1.008500e+01,7.338486e-01,7.288983e-04,1.080450e+03
7.349788e-05,1.005000e+01,7.830568e-01,7.484025e-04,1.089602e+03
8.080439e-05,1.003000e+01,8.314757e-01,8.801373e-04,1.099411e+03
8.883725e-05,1.000500e+01,8.396577e-01,1.265232e-03,1.107712e+03
9.766866e-05,9.955000e+00,8.421951e-01,1.296610e-03,1.114859e+03
1.073780e-04,9.890000e+00,8.462418e-01,1.330566e-03,1.122530e+03
1.180526e-04,9.810000e+00,8.521142e-01,1.367306e-03,1.130753e+03
1.297883e-04,9.720000e+00,8.599019e-01,1.407102e-03,1.139575e+03
1.426907e-04,9.625000e+00,8.695964e-01,1.450147e-03,1.149005e+03
1.568758e-04,9.525000e+00,8.811158e-01,1.496768e-03,1.159096e+03
1.724710e-04,9.420000e+00,8.943159e-01,1.547228e-03,1.169866e+03
1.896165e-04,9.315000e+00,9.090037e-01,1.601848e-03,1.181347e+03
2.084665e-04,9.205000e+00,9.249564e-01,1.661009e-03,1.193577e+03
2.291904e-04,9.100000e+00,9.419132e-01,1.725095e-03,1.206586e+03
2.519745e-04,8.990000e+00,9.596001e-01,1.794537e-03,1.220406e+03
2.770235e-04,8.885000e+00,9.777389e-01,1.869840e-03,1.235081e+03
3.045628e-04,8.780000e+00,9.960476e-01,1.951502e-03,1.250626e+03
