pressure,epsilon,muB,phase_index
0.00035479653812559345,0.0025440694489833743,1357.064510399109,2
0.000360918741150877,0.0025620567838865573,1360.0187425632143,2
0.0003670698090930704,0.002580068280995466,1362.972974727319,2
0.0003732796543392221,0.0025981289793307223,1365.9272068914242,2
0.0003795157664692286,0.0026162123012684045,1368.8814390555294,2
0.0003858136478338706,0.002634348824895873,1371.8356712196346,2
0.0003921351868048556,0.0026525058860113193,1374.7899033837398,2
0.00039852154742281226,0.0026707192196750535,1377.7441355478445,2
0.00040492888235105185,0.002688951060083157,1380.69836771195,2
0.00041140396840833705,0.0027072426808992397,1383.6525998760549,2
0.0004178973807932359,0.0027255506861804096,1386.60683204016,2
0.0004244616846618771,0.0027439220712649234,1389.5610642042652,2
0.0004310416105987531,0.0027623075411168404,1392.5152963683702,2
0.0004376954769391698,0.002780759675213841,1395.4695285324754,2
0.0004443622538554756,0.002799223745237129,1398.4237606965805,2
0.000451106125802492,0.0028177590902067518,1401.3779928606855,2
0.000457860158298183,0.0028363037928479055,1404.3322250247907,2
0.00046469438051221866,0.002854922348690151,1407.2864571888958,2
0.0004715359959008799,0.002873547884523633,1410.2406893530008,2
0.0004784609622795564,0.0028922521130986373,1413.1949215171062,2
0.00048539053750698156,0.0029109606919893428,1416.149153681211,2
0.0004924067896595284,0.002929751085669133,1419.103385845316,2
0.0004994248279703673,0.002948543198286205,1422.0576180094213,2
0.0005065326613200017,0.002967421726558891,1425.0118501735265,2
0.0005136404946696358,0.0029863002548315785,1427.9660823376316,2
0.0005208392958159987,0.0030052663925393156,1430.9203145017364,2
0.0005280391534975452,0.003024233547776926,1433.8745466658418,2
0.0005353276462490958,0.003043286980768848,1436.8287788299467,2
0.0005426200698717843,0.003062344240087464,1439.783010994052,2
0.0005499985341710766,0.0030814868101511736,1442.737243158157,2
0.0005573838191581229,0.0031006361430389036,1445.691475322262,2
0.0005648527966919881,0.003119867933809958,1448.6457074863672,2
0.0005723315338898257,0.0031391093402668015,1451.5999396504724,2
0.0005798913660427762,0.003158432054526409,1454.5541718145773,2
0.0005874639001118236,0.003177767504040476,1457.5084039786825,2
0.0005951150743616983,0.0031971821683504714,1460.4626361427877,2
0.0006027819469111862,0.003216612645665817,1463.4168683068926,2
0.0006105248132307706,0.0032361201837464728,1466.371100470998,2
0.0006182863689211181,0.003255646673607152,1469.3253326351028,2
0.0006261214785689871,0.0032752483891062057,1472.279564799208,2
0.0006339783574838301,0.003294872368628301,1475.2337969633131,2
0.0006419060920752494,0.003314568917783123,1478.1880291274183,2
0.0006498586388750067,0.003334290879338661,1481.1422612915235,2
0.0006578794265367442,0.003354083772256114,1484.0964934556282,2
0.0006659281335934436,0.0033739056853332055,1487.0507256197336,2
0.0006740424696015996,0.0033937954328153155,1490.0049577838386,2
0.0006821878785244707,0.0034137172974139595,1492.9591899479437,2
0.0006903962071444589,0.003433705175075467,1495.913422112049,2
0.0006986387610683259,0.0034537289606837713,1498.8676542761539,2
