p_c,R(code units),M(Msun),e(pc),col2(pc),col3(pc),col4(pc),col5(pc),col6(pc)
2.186991e-06,7.130000e+00,5.990161e-02,2.901453e-04,8.617300e-01,3.194259e+02,0.000000e+00,2.408353e-02,1.000000e+00
2.258749e-06,7.100000e+00,6.080349e-02,2.931349e-04,8.707986e-01,3.195312e+02,0.000000e+00,2.522247e-02,1.000000e+00
2.332861e-06,7.075000e+00,6.177866e-02,2.962225e-04,8.801647e-01,3.196400e+02,0.000000e+00,2.639878e-02,1.000000e+00
2.409406e-06,7.045000e+00,6.275470e-02,2.994115e-04,8.898381e-01,3.197523e+02,0.000000e+00,2.761368e-02,1.000000e+00
2.488461e-06,7.020000e+00,6.380286e-02,3.027051e-04,8.998290e-01,3.198684e+02,0.000000e+00,2.886845e-02,1.000000e+00
2.570111e-06,7.000000e+00,6.491612e-02,3.061068e-04,9.101477e-01,3.199882e+02,0.000000e+00,3.016439e-02,1.000000e+00
2.654440e-06,6.975000e+00,6.605018e-02,3.083626e-04,9.170678e-01,3.200958e+02,0.000000e+00,3.121025e-02,1.000000e+00
2.741535e-06,6.955000e+00,6.726483e-02,3.105557e-04,9.238089e-01,3.202052e+02,0.000000e+00,3.225864e-02,1.000000e+00
2.831488e-06,6.930000e+00,6.851411e-02,3.128208e-04,9.307711e-01,3.203182e+02,0.000000e+00,3.334143e-02,1.000000e+00
2.924393e-06,6.910000e+00,6.985027e-02,3.151602e-04,9.379618e-01,3.204349e+02,0.000000e+00,3.445974e-02,1.000000e+00
3.020346e-06,6.895000e+00,7.127892e-02,3.175764e-04,9.453885e-01,3.205554e+02,0.000000e+00,3.561475e-02,1.000000e+00
3.119448e-06,6.875000e+00,7.273200e-02,3.200718e-04,9.530588e-01,3.206798e+02,0.000000e+00,3.680765e-02,1.000000e+00
3.221801e-06,6.860000e+00,7.427788e-02,3.226492e-04,9.609808e-01,3.208084e+02,0.000000e+00,3.803969e-02,1.000000e+00
3.327512e-06,6.845000e+00,7.588272e-02,3.253110e-04,9.691627e-01,3.209411e+02,0.000000e+00,3.931216e-02,1.000000e+00
3.436692e-06,6.835000e+00,7.757461e-02,3.280603e-04,9.776131e-01,3.210783e+02,0.000000e+00,4.062639e-02,1.000000e+00
3.549454e-06,6.820000e+00,7.930332e-02,3.308997e-04,9.863408e-01,3.212199e+02,0.000000e+00,4.198373e-02,1.000000e+00
3.665916e-06,6.810000e+00,8.111904e-02,3.338323e-04,9.953548e-01,3.213661e+02,0.000000e+00,4.338561e-02,1.000000e+00
3.786200e-06,6.800000e+00,8.299383e-02,3.368611e-04,1.004665e+00,3.215172e+02,0.000000e+00,4.483348e-02,1.000000e+00
3.910430e-06,6.795000e+00,8.495524e-02,3.399893e-04,1.014280e+00,3.216732e+02,0.000000e+00,4.632886e-02,1.000000e+00
4.038736e-06,6.785000e+00,8.695329e-02,3.432202e-04,1.024211e+00,3.218344e+02,0.000000e+00,4.787331e-02,1.000000e+00
4.171252e-06,6.780000e+00,8.903739e-02,3.465524e-04,1.034453e+00,3.220007e+02,0.000000e+00,4.946762e-02,1.000000e+00
4.308116e-06,6.775000e+00,9.119123e-02,3.490138e-04,1.042105e+00,3.221557e+02,0.000000e+00,5.094091e-02,1.000000e+00
4.449471e-06,6.775000e+00,9.345901e-02,3.515559e-04,1.050007e+00,3.223157e+02,0.000000e+00,5.246253e-02,1.000000e+00
