# p(code_units), e(code_units) => first two columns, plus original columns afterward
# system=Already code => factor=1, pFactor=1.000000e+00, eFactor=1.000000e+00
# pressure (code_units),epsilon (code_units),muB,phase_index
1.926268e-04,1.824031e-03,1336.7730604791896,2
1.952179e-04,1.832296e-03,1338.5248878336754,2
1.978371e-04,1.840569e-03,1340.2767151881612,2
2.004564e-04,1.848842e-03,1342.028542542647,2
2.030756e-04,1.857115e-03,1343.780369897133,2
2.057301e-04,1.865399e-03,1345.5321972516188,2
2.083896e-04,1.873685e-03,1347.2840246061046,2
2.110491e-04,1.881971e-03,1349.0358519605907,2
2.137267e-04,1.890262e-03,1350.7876793150765,2
2.164266e-04,1.898561e-03,1352.5395066695621,2
2.191265e-04,1.906859e-03,1354.291334024048,2
2.218273e-04,1.915158e-03,1356.043161378534,2
2.245676e-04,1.923470e-03,1357.7949887330199,2
2.273078e-04,1.931781e-03,1359.5468160875057,2
2.300480e-04,1.940093e-03,1361.2986434419915,2
2.328125e-04,1.948413e-03,1363.0504707964774,2
2.355933e-04,1.956738e-03,1364.8022981509632,2
2.383740e-04,1.965064e-03,1366.554125505449,2
2.411618e-04,1.973391e-03,1368.3059528599351,2
2.439831e-04,1.981731e-03,1370.057780214421,2
2.468043e-04,1.990071e-03,1371.8096075689068,2
2.496256e-04,1.998410e-03,1373.5614349233924,2
2.524773e-04,2.006761e-03,1375.3132622778785,2
