p_c,R,M,e(pc),col2(pc),col3(pc),col4(pc),col5(pc),col6(pc)
2.119566e-05,4.105000e+00,1.405346e-01,7.695602e-04,2.610531e+00,3.664147e+02,0.000000e+00,2.776364e-01,1.000000e+00
2.175130e-05,4.150000e+00,1.452790e-01,7.716981e-04,2.618116e+00,3.667096e+02,0.000000e+00,2.781560e-01,1.000000e+00
2.232151e-05,4.190000e+00,1.497925e-01,7.738920e-04,2.625900e+00,3.670122e+02,0.000000e+00,2.786893e-01,1.000000e+00
2.290667e-05,4.230000e+00,1.543192e-01,7.761434e-04,2.633889e+00,3.673228e+02,0.000000e+00,2.792366e-01,1.000000e+00
2.350717e-05,4.270000e+00,1.589451e-01,7.784538e-04,2.642086e+00,3.676415e+02,0.000000e+00,2.797982e-01,1.000000e+00
2.412340e-05,4.315000e+00,1.642181e-01,7.808248e-04,2.650498e+00,3.679686e+02,0.000000e+00,2.803745e-01,1.000000e+00
2.475580e-05,4.355000e+00,1.690575e-01,7.831887e-04,2.658926e+00,3.682991e+02,0.000000e+00,2.815600e-01,1.000000e+00
2.540477e-05,4.395000e+00,1.740013e-01,7.856072e-04,2.667553e+00,3.686377e+02,0.000000e+00,2.828395e-01,1.000000e+00
2.607076e-05,4.440000e+00,1.796295e-01,7.880891e-04,2.676406e+00,3.689852e+02,0.000000e+00,2.841525e-01,1.000000e+00
2.675420e-05,4.480000e+00,1.847977e-01,7.906361e-04,2.685491e+00,3.693417e+02,0.000000e+00,2.855000e-01,1.000000e+00
2.745556e-05,4.525000e+00,1.906762e-01,7.932498e-04,2.694814e+00,3.697077e+02,0.000000e+00,2.868827e-01,1.000000e+00
2.817531e-05,4.565000e+00,1.960763e-01,7.959187e-04,2.704344e+00,3.700817e+02,0.000000e+00,2.881989e-01,1.000000e+00
2.891392e-05,4.610000e+00,2.022133e-01,7.986089e-04,2.713989e+00,3.704602e+02,0.000000e+00,2.891784e-01,1.000000e+00
2.967190e-05,4.650000e+00,2.078531e-01,8.013697e-04,2.723887e+00,3.708487e+02,0.000000e+00,2.901837e-01,1.000000e+00
3.044974e-05,4.695000e+00,2.142570e-01,8.042028e-04,2.734044e+00,3.712473e+02,0.000000e+00,2.912153e-01,1.000000e+00
3.124798e-05,4.735000e+00,2.201445e-01,8.071102e-04,2.744468e+00,3.716564e+02,0.000000e+00,2.922740e-01,1.000000e+00
3.206715e-05,4.780000e+00,2.268238e-01,8.100853e-04,2.755143e+00,3.720748e+02,0.000000e+00,2.932875e-01,1.000000e+00
3.290779e-05,4.820000e+00,2.329673e-01,8.130987e-04,2.765997e+00,3.724980e+02,0.000000e+00,2.939901e-01,1.000000e+00
3.377046e-05,4.865000e+00,2.399309e-01,8.161912e-04,2.777136e+00,3.729323e+02,0.000000e+00,2.947111e-01,1.000000e+00
3.465575e-05,4.910000e+00,2.469283e-01,8.193647e-04,2.788567e+00,3.733779e+02,0.000000e+00,2.954511e-01,1.000000e+00
3.556425e-05,4.950000e+00,2.535958e-01,8.226215e-04,2.800297e+00,3.738353e+02,0.000000e+00,2.962104e-01,1.000000e+00
3.649657e-05,4.995000e+00,2.610093e-01,8.259855e-04,2.812437e+00,3.742993e+02,0.000000e+00,2.959141e-01,1.000000e+00
3.745332e-05,5.035000e+00,2.678364e-01,8.294499e-04,2.824951e+00,3.747726e+02,0.000000e+00,2.950131e-01,1.000000e+00
3.843516e-05,5.080000e+00,2.755571e-01,8.330051e-04,2.837794e+00,3.752583e+02,0.000000e+00,2.940886e-01,1.000000e+00
3.944273e-05,5.120000e+00,2.826709e-01,8.366535e-04,2.850973e+00,3.757567e+02,0.000000e+00,2.931398e-01,1.000000e+00
4.047672e-05,5.165000e+00,2.907084e-01,8.403954e-04,2.864517e+00,3.762635e+02,0.000000e+00,2.925703e-01,1.000000e+00
4.153782e-05,5.205000e+00,2.981183e-01,8.442335e-04,2.878434e+00,3.767792e+02,0.000000e+00,2.923621e-01,1.000000e+00
4.262673e-05,5.250000e+00,3.064824e-01,8.481722e-04,2.892717e+00,3.773084e+02,0.000000e+00,2.921485e-01,1.000000e+00
4.374419e-05,5.290000e+00,3.141979e-01,8.522142e-04,2.907373e+00,3.778515e+02,0.000000e+00,2.919292e-01,1.000000e+00
4.489094e-05,5.335000e+00,3.228985e-01,8.564508e-04,2.922717e+00,3.784017e+02,0.000000e+00,2.903057e-01,1.000000e+00
4.606775e-05,5.375000e+00,3.309285e-01,8.608316e-04,2.938575e+00,3.789635e+02,0.000000e+00,2.881186e-01,1.000000e+00
4.727542e-05,5.420000e+00,3.398313e-01,8.653272e-04,2.954849e+00,3.795401e+02,0.000000e+00,2.858741e-01,1.000000e+00
4.851474e-05,5.460000e+00,3.483294e-01,8.698684e-04,2.971346e+00,3.801296e+02,0.000000e+00,2.851517e-01,1.000000e+00
4.978655e-05,5.500000e+00,3.568442e-01,8.742701e-04,2.987545e+00,3.807266e+02,0.000000e+00,2.900686e-01,1.000000e+00
5.109170e-05,5.545000e+00,3.662737e-01,8.787872e-04,3.004169e+00,3.813392e+02,0.000000e+00,2.951144e-01,1.000000e+00
5.243107e-05,5.585000e+00,3.752802e-01,8.834227e-04,3.021228e+00,3.819679e+02,0.000000e+00,3.002924e-01,1.000000e+00
5.380555e-05,5.625000e+00,3.843033e-01,8.883080e-04,3.039176e+00,3.826024e+02,0.000000e+00,2.982175e-01,1.000000e+00
5.521606e-05,5.665000e+00,3.934956e-01,8.933282e-04,3.057618e+00,3.832529e+02,0.000000e+00,2.956911e-01,1.000000e+00
5.666355e-05,5.705000e+00,4.028595e-01,8.984800e-04,3.076544e+00,3.839206e+02,0.000000e+00,2.930985e-01,1.000000e+00
5.814898e-05,5.745000e+00,4.123974e-01,9.037377e-04,3.095934e+00,3.845953e+02,0.000000e+00,2.929522e-01,1.000000e+00
5.967335e-05,5.785000e+00,4.221116e-01,9.091294e-04,3.115828e+00,3.852863e+02,0.000000e+00,2.931404e-01,1.000000e+00
6.123768e-05,5.825000e+00,4.320047e-01,9.146625e-04,3.136244e+00,3.859954e+02,0.000000e+00,2.933336e-01,1.000000e+00
6.284303e-05,5.865000e+00,4.420788e-01,9.203058e-04,3.157162e+00,3.867108e+02,0.000000e+00,2.934975e-01,1.000000e+00
6.449045e-05,5.905000e+00,4.523363e-01,9.260968e-04,3.178628e+00,3.874450e+02,0.000000e+00,2.936655e-01,1.000000e+00
