p_c,R,M,e(pc),col2(pc)
3.889408e-07,3.000000e+01,6.956628e-02,7.524532e-05,9.497888e+02
4.273540e-07,3.000000e+01,7.262453e-02,7.805361e-05,9.502393e+02
4.695609e-07,3.000000e+01,7.600453e-02,8.113926e-05,9.507344e+02
5.159364e-07,3.000000e+01,7.969553e-02,8.452965e-05,9.512784e+02
5.668920e-07,3.000000e+01,8.370683e-02,8.775848e-05,9.518154e+02
6.228802e-07,3.000000e+01,8.808542e-02,9.120615e-05,9.523931e+02
6.843981e-07,3.000000e+01,9.281628e-02,9.499431e-05,9.530280e+02
7.519916e-07,3.000000e+01,9.790922e-02,9.869761e-05,9.536697e+02
8.262609e-07,3.000000e+01,1.034007e-01,1.026872e-04,9.543650e+02
9.078652e-07,3.000000e+01,1.092603e-01,1.069113e-04,9.551096e+02
9.975291e-07,3.000000e+01,1.155252e-01,1.112010e-04,9.558846e+02
1.096049e-06,3.000000e+01,1.221795e-01,1.158474e-04,9.567278e+02
1.204298e-06,3.000000e+01,1.292543e-01,1.204546e-04,9.575918e+02
1.323239e-06,3.000000e+01,1.367551e-01,1.254057e-04,9.585265e+02
1.453926e-06,3.000000e+01,1.447375e-01,1.302551e-04,9.594764e+02
1.597521e-06,2.879000e+01,1.532186e-01,1.354239e-04,9.604995e+02
1.755298e-06,2.629500e+01,1.622276e-01,1.408094e-04,9.615859e+02
1.928657e-06,2.432500e+01,1.717616e-01,1.464055e-04,9.627385e+02
2.119138e-06,2.274000e+01,1.818425e-01,1.522854e-04,9.639615e+02
2.328431e-06,2.143000e+01,1.925134e-01,1.583248e-04,9.652266e+02
2.558395e-06,2.034000e+01,2.037866e-01,1.646179e-04,9.665719e+02
2.811071e-06,1.941500e+01,2.156770e-01,1.711890e-04,9.680062e+02
3.088703e-06,1.863000e+01,2.282247e-01,1.778973e-04,9.695211e+02
3.393753e-06,1.795500e+01,2.415179e-01,1.847446e-04,9.711251e+02
3.728932e-06,1.736500e+01,2.555680e-01,1.918676e-04,9.728364e+02
4.097215e-06,1.684500e+01,2.704748e-01,1.989897e-04,9.746224e+02
4.501870e-06,1.639500e+01,2.862753e-01,2.063977e-04,9.765292e+02
4.946490e-06,1.599500e+01,3.030542e-01,2.139140e-04,9.785430e+02
5.435022e-06,1.564000e+01,3.208648e-01,2.215703e-04,9.806843e+02
