p_c,R(code units),M(Msun),e(pc),col2(pc)
5.951333e-06,1.735500e+01,1.968229e-01,3.406524e-04,9.797034e+02
6.521514e-06,1.660500e+01,2.037799e-01,3.501419e-04,9.817295e+02
7.146323e-06,1.590000e+01,2.117831e-01,3.601790e-04,9.839210e+02
7.830993e-06,1.524500e+01,2.209000e-01,3.698319e-04,9.862154e+02
8.581259e-06,1.464500e+01,2.312193e-01,3.799649e-04,9.886942e+02
9.403407e-06,1.410000e+01,2.427517e-01,3.901070e-04,9.913272e+02
1.030432e-05,1.361000e+01,2.556209e-01,4.002804e-04,9.941312e+02
1.129155e-05,1.317000e+01,2.698569e-01,4.104781e-04,9.971430e+02
1.237337e-05,1.278000e+01,2.856339e-01,4.200560e-04,1.000341e+03
1.355882e-05,1.242500e+01,3.029908e-01,4.306789e-04,1.003769e+03
1.485786e-05,1.212500e+01,3.218418e-01,4.424371e-04,1.007449e+03
1.628135e-05,1.186500e+01,3.422484e-01,4.532762e-04,1.011351e+03
1.784122e-05,1.164000e+01,3.643756e-01,4.642178e-04,1.015551e+03
1.955055e-05,1.144500e+01,3.883474e-01,4.751076e-04,1.020048e+03
2.142363e-05,1.127500e+01,4.142412e-01,4.860478e-04,1.024849e+03
2.347617e-05,1.113500e+01,4.421265e-01,4.970835e-04,1.029993e+03
2.572536e-05,1.101500e+01,4.720832e-01,5.082404e-04,1.035509e+03
2.819004e-05,1.091500e+01,5.041900e-01,5.195047e-04,1.041424e+03
3.089085e-05,1.083500e+01,5.385098e-01,5.308875e-04,1.047766e+03
3.385042e-05,1.077000e+01,5.750964e-01,5.424459e-04,1.054569e+03
3.709354e-05,1.072000e+01,6.139801e-01,5.542079e-04,1.061870e+03
4.064737e-05,1.068500e+01,6.551781e-01,5.661328e-04,1.069687e+03
4.454169e-05,1.066000e+01,6.986797e-01,5.783831e-04,1.078078e+03
4.880911e-05,1.064500e+01,7.444423e-01,5.910084e-04,1.087082e+03
5.348538e-05,1.063500e+01,7.923936e-01,6.040443e-04,1.096733e+03
5.860968e-05,1.063500e+01,8.424225e-01,6.175806e-04,1.107075e+03
6.422491e-05,1.064500e+01,8.943834e-01,6.317190e-04,1.118163e+03
7.037813e-05,1.065500e+01,9.480929e-01,6.465385e-04,1.130036e+03
7.712087e-05,1.067000e+01,1.003328e+00,6.621255e-04,1.142744e+03
8.450962e-05,1.068500e+01,1.059836e+00,6.785871e-04,1.156339e+03
9.260626e-05,1.070500e+01,1.117331e+00,6.960211e-04,1.170870e+03
1.014786e-04,1.072000e+01,1.175502e+00,7.145226e-04,1.186382e+03
1.112010e-04,1.074000e+01,1.234019e+00,7.342100e-04,1.202934e+03
1.218549e-04,1.075500e+01,1.292538e+00,7.551942e-04,1.220578e+03
1.335295e-04,1.077000e+01,1.350709e+00,7.775872e-04,1.239366e+03
1.463226e-04,1.078000e+01,1.408183e+00,8.015104e-04,1.259354e+03
1.603414e-04,1.078500e+01,1.464617e+00,8.271361e-04,1.280582e+03
1.757032e-04,1.079000e+01,1.519625e+00,8.550744e-04,1.303111e+03
1.925369e-04,1.079000e+01,1.572816e+00,8.852860e-04,1.326972e+03
2.109833e-04,1.078000e+01,1.623875e+00,9.178066e-04,1.352206e+03
2.311971e-04,1.077000e+01,1.670719e+00,1.114457e-03,1.378088e+03
2.533475e-04,1.074000e+01,1.690114e+00,1.230612e-03,1.400751e+03
2.776200e-04,1.069000e+01,1.706456e+00,1.273764e-03,1.424658e+03
3.042181e-04,1.062500e+01,1.721653e+00,1.319410e-03,1.449959e+03
3.333644e-04,1.056000e+01,1.736114e+00,1.367697e-03,1.476715e+03
3.653031e-04,1.048500e+01,1.749970e+00,1.418768e-03,1.504988e+03
4.003019e-04,1.040500e+01,1.763234e+00,1.472783e-03,1.534843e+03
4.386537e-04,1.032000e+01,1.775860e+00,1.529916e-03,1.566351e+03
4.806800e-04,1.023500e+01,1.787778e+00,1.590321e-03,1.599570e+03
5.267326e-04,1.014500e+01,1.798901e+00,1.654199e-03,1.634582e+03
5.771975e-04,1.005500e+01,1.809143e+00,1.721737e-03,1.671454e+03
6.324972e-04,9.965000e+00,1.818425e+00,1.793139e-03,1.710266e+03
6.930951e-04,9.870000e+00,1.826672e+00,1.868608e-03,1.751085e+03
7.594987e-04,9.775000e+00,1.833829e+00,1.948377e-03,1.794000e+03
